tic,toi,rotulo,disposicao,setor,setores_pedidos,setores_disponiveis,periodo_publicado,duracao_publicada_h,profundidade_publicada_ppm,raio_publicado_re,tmag,arquivo
219698776,1243.01,planeta,CP,14,1,7,4.6595169,0.9011821,1725.1706259,2.1961507,11.1966000,tic219698776-s14.json
219850915,1244.01,planeta,CP,14,1,39,6.4002807,2.1559875,1026.6018729,2.2730301,11.0157000,tic219850915-s14.json
230127302,1246.02,planeta,CP,14,1,40,4.3074513,2.3379196,1094.8419495,3.2819879,11.1802000,tic230127302-s14.json
232612416,1248.01,planeta,CP,14,1,39,4.3601536,2.3408909,5592.2909183,6.9564258,11.1153000,tic232612416-s14.json
278348461,1257.01,planeta,KP,14,1,4,5.4526479,3.4010000,7750.0000000,14.5502000,9.8746300,tic278348461-s14.json
288735205,1259.01,planeta,CP,14,1,32,3.4779776,2.5103489,27021.6932424,12.5541925,11.1534000,tic288735205-s14.json
424865156,1265.01,planeta,KP,14,1,10,2.2047452,3.9960000,6872.0000000,17.9781000,10.0274000,tic424865156-s14.json
158561566,1267.01,planeta,KP,14,1,13,6.7900981,6.0786576,2158.1733568,9.7548481,11.6360000,tic158561566-s14.json
198241702,1269.01,planeta,CP,14,1,42,4.2529641,2.5733867,758.5849990,2.3483383,10.9897000,tic198241702-s14.json
286923464,1271.01,planeta,KP,15,1,5,6.1349783,5.6610000,3860.0000000,13.1383000,7.4556000,tic286923464-s15.json
417948359,1272.01,planeta,CP,15,1,5,3.3159772,1.4940000,2770.0000000,4.5947000,11.0244000,tic417948359-s15.json
445859771,1273.01,planeta,CP,15,1,7,4.6313014,1.4350000,4860.0000000,9.3484800,10.4180000,tic445859771-s15.json
236445129,1282.01,planeta,KP,15,1,3,0.9689927,2.5496309,13532.9710157,17.1331258,11.4373000,tic236445129-s15.json
365733349,1288.01,planeta,CP,15,1,13,2.6998294,2.2080000,2798.0000000,4.9455100,9.9311900,tic365733349-s15.json
219015370,1294.01,planeta,CP,40,1,9,3.9152737,2.5620000,3350.0000000,9.4343500,10.9458000,tic219015370-s40.json
219852584,1295.01,planeta,CP,23,1,32,3.1968838,3.7533697,7958.9806560,14.9685779,10.7973000,tic219852584-s23.json
219854185,1296.01,planeta,CP,23,1,32,3.9443668,4.8652146,6732.4884540,14.5727196,10.8041000,tic219854185-s23.json
237104103,1298.01,planeta,CP,23,1,33,4.5371361,4.0421550,4199.7558754,9.8153513,10.9585000,tic237104103-s23.json
356867115,1301.01,planeta,CP,14,1,39,6.0964074,2.3632965,1142.4891745,2.5856853,10.5216000,tic356867115-s14.json
160708862,1337.01,planeta,KP,38,1,4,3.3448312,3.3220000,13626.0000000,21.2012000,9.8787000,tic160708862-s38.json
219852882,1346.01,planeta,CP,14,1,41,5.5025577,3.1711008,844.7022676,2.7049797,10.7261000,tic219852882-s14.json
229747848,1347.01,planeta,CP,14,1,39,0.8474218,0.8758764,424.3932848,1.7536544,10.7157000,tic229747848-s14.json
176899385,1373.01,planeta,KP,57,1,2,3.8529998,3.2250000,8913.0000000,15.4014000,9.9957710,tic176899385-s57.json
346338552,1388.01,planeta,KP,56,1,3,4.4652986,2.5020000,14440.0000000,14.5331000,9.7603100,tic346338552-s56.json
364186197,1408.01,planeta,CP,16,1,18,4.4247042,1.3180000,2447.0000000,8.3621000,8.8237400,tic364186197-s16.json
199444169,1410.01,planeta,CP,16,1,3,1.2168732,0.8600000,1240.0000000,3.4310600,10.1917000,tic199444169-s16.json
116483514,1411.01,planeta,CP,16,1,7,1.4520486,1.3390000,393.0000000,1.4040000,9.1043000,tic116483514-s16.json
158025009,1416.01,planeta,CP,16,1,4,1.0697621,1.3560000,376.0000000,1.6003700,9.0739000,tic158025009-s16.json
164173105,1417.01,planeta,CP,16,1,3,3.0726434,2.2602485,10471.4949697,19.9197757,8.5101700,tic164173105-s16.json
311035838,1419.01,planeta,KP,16,1,4,2.8997405,1.8490000,13760.0000000,10.0433000,10.7164000,tic311035838-s16.json
321857016,1420.01,planeta,CP,16,1,10,6.9561134,3.3628003,15989.2311010,12.0908230,11.2287000,tic321857016-s16.json
293954617,1430.01,planeta,CP,14,1,12,7.4341456,2.4240000,701.0000000,1.9773700,8.3879000,tic293954617-s14.json
229650439,1438.01,planeta,CP,14,1,38,5.1396666,0.8991981,769.5996824,2.2590570,10.3237000,tic229650439-s14.json
258514800,1444.01,planeta,CP,15,1,24,0.4702719,1.3258819,209.4931300,1.4344026,10.1522000,tic258514800-s15.json
377293776,1450.01,planeta,CP,14,1,39,2.0439268,1.0089370,465.1929875,1.0924808,10.0306000,tic377293776-s14.json
198390247,1453.01,planeta,CP,14,1,39,6.5886877,1.6780000,852.0000000,2.1274600,10.1426000,tic198390247-s14.json
191284318,1458.01,planeta,KP,17,1,3,2.7759678,3.0740000,13613.0000000,15.4018000,10.3740000,tic191284318-s17.json
188768068,1462.01,planeta,CP,17,1,21,2.1779407,2.0980000,110.0000000,1.2822800,5.8961000,tic188768068-s17.json
236887394,1465.01,planeta,KP,17,1,20,1.4200248,1.4310000,23730.0000000,12.5242000,11.8478000,tic236887394-s17.json
240968774,1467.01,planeta,CP,17,1,4,5.9711357,1.5478671,1437.1086027,1.8721145,10.5977000,tic240968774-s17.json
243185500,1468.02,planeta,CP,17,1,5,1.8805310,1.1911684,1214.0066593,1.4548629,10.8858000,tic243185500-s17.json
283722336,1469.01,planeta,KP,17,1,5,3.0929386,0.8776502,254.2319025,1.2815317,4.6278000,tic283722336-s17.json
284441182,1470.01,planeta,CP,17,1,6,2.5272822,1.2658610,1847.4872236,2.2007181,11.4752000,tic284441182-s17.json
306955329,1472.01,planeta,CP,17,1,5,6.3634106,2.6923020,2368.6952027,4.4784698,10.5508000,tic306955329-s17.json
352413427,1473.01,planeta,CP,17,1,3,5.2544884,2.8980000,567.0000000,2.1916000,8.2970000,tic352413427-s17.json
432549364,1476.01,planeta,KP,17,1,3,1.2174936,2.5700000,6969.0000000,12.9438000,10.2242000,tic432549364-s17.json
240681314,1477.01,planeta,KP,17,1,3,2.7324809,2.2139341,9548.2806012,18.2785375,10.6496000,tic240681314-s17.json
411608801,1494.01,planeta,CP,42,1,3,5.0267996,2.7540440,6358.0060702,12.9814741,10.3002000,tic411608801-s42.json
376637093,1516.01,planeta,CP,57,1,6,2.0560153,2.7730000,17453.0000000,17.2767000,10.3770000,tic376637093-s57.json
427761355,1518.01,planeta,CP,57,1,5,1.9026060,2.3653693,8984.9897271,19.5765040,8.7512700,tic427761355-s57.json
345143460,1533.01,planeta,CP,57,1,5,3.6458046,1.8280000,1168.0000000,2.9327200,10.1128000,tic345143460-s57.json
354469661,1580.01,planeta,KP,58,1,2,4.7947749,4.7990000,6864.0000000,18.3428000,9.1792500,tic354469661-s58.json
129979528,1599.01,planeta,KP,18,1,3,1.2198382,2.8341804,12160.1096043,18.2179311,7.8761100,tic129979528-s18.json
139375960,1601.01,planeta,CP,85,1,1,5.3315500,6.1910000,4220.0000000,14.6101000,10.1035000,tic139375960-s85.json
73448352,1603.01,planeta,KP,58,1,2,4.7321735,2.5890000,8121.0000000,14.2690000,10.1868000,tic73448352-s58.json
101037590,1605.01,planeta,CP,58,1,1,8.7094632,3.0270000,4510.0000000,20.9625000,9.6292400,tic101037590-s58.json
268403451,1612.01,planeta,KP,25,1,12,2.8641388,2.4170000,9597.0000000,15.5276000,10.0521000,tic268403451-s25.json
424435940,1627.01,planeta,KP,25,1,10,5.0172146,3.7363301,14236.9594003,13.5478019,11.2311000,tic424435940-s25.json
284475976,1628.01,planeta,KP,23,1,17,2.1436364,3.1539349,9203.7552743,18.0537588,11.1541000,tic284475976-s23.json
310003988,1629.01,planeta,KP,23,1,4,4.5421594,4.2940000,9760.0000000,17.3816000,11.1910000,tic310003988-s23.json
201186294,1634.01,planeta,CP,18,1,2,0.9893300,1.0357615,1519.6695870,1.8303854,11.0136000,tic201186294-s18.json
396562848,1640.01,planeta,CP,18,1,10,1.9495403,0.8060618,2089.2444115,1.3929217,11.0548000,tic396562848-s18.json
376353509,1648.01,planeta,CP,52,1,4,7.3315684,1.2870000,893.0000000,2.7743300,9.5831000,tic376353509-s52.json
138168780,1651.01,planeta,KP,19,1,9,3.7649949,2.6420000,14735.0000000,17.8182000,9.8827800,tic138168780-s19.json
288631580,1659.01,planeta,CP,14,1,21,5.8775548,2.9027641,412.2881337,2.1822904,9.5690600,tic288631580-s14.json
428679607,1669.01,planeta,CP,19,1,11,2.6800536,1.7580000,456.0000000,2.3437000,9.5290600,tic428679607-s19.json
8400842,1676.01,planeta,KP,19,1,4,3.1915257,2.7560000,8587.0000000,16.4091000,9.4410000,tic8400842-s19.json
367366318,1682.01,planeta,KP,19,1,9,2.7347651,3.2050000,9209.0000000,17.8050000,8.1484700,tic367366318-s19.json
58542531,1683.01,planeta,CP,19,1,5,3.0575240,1.3790503,1117.9638175,2.4878486,9.7940000,tic58542531-s19.json
28900646,1685.01,planeta,CP,19,1,3,0.6691449,0.9921631,1254.3711932,1.9200407,11.1117000,tic28900646-s19.json
353475866,1693.01,planeta,CP,19,1,6,1.7666920,1.4196682,830.5082973,1.5574734,10.6714000,tic353475866-s19.json
396740648,1694.01,planeta,CP,19,1,2,3.7701296,2.8512056,4361.1801082,5.4800266,10.7424000,tic396740648-s19.json
422756130,1695.01,planeta,CP,18,1,11,3.1342946,1.2158796,1183.6060713,1.7992966,11.0294000,tic422756130-s18.json
239154970,1714.01,planeta,KP,20,1,6,3.4744763,4.2580000,12920.0000000,19.6131000,10.7131000,tic239154970-s20.json
14336130,1716.01,planeta,CP,20,1,4,8.0823540,3.2840000,559.0000000,2.7243200,8.8289700,tic14336130-s20.json
130181866,1726.01,planeta,CP,20,1,6,7.1079340,3.4408330,501.6058242,2.2881711,6.2683000,tic130181866-s20.json
285048486,1728.01,planeta,CP,20,1,3,3.4913952,1.7630000,5400.0000000,4.9395000,10.7921000,tic285048486-s20.json
318022259,1730.01,planeta,CP,20,1,3,6.2262315,2.2390000,1488.0000000,2.7552400,10.3595000,tic318022259-s20.json
371234684,1731.01,planeta,KP,20,1,3,3.9228042,3.2050000,13970.0000000,15.8493000,11.7946000,tic371234684-s20.json
408618999,1736.01,planeta,CP,18,1,8,7.0731057,3.8190000,439.0000000,2.6917500,8.3302000,tic408618999-s18.json
159418353,1739.01,planeta,CP,14,1,17,8.3033493,1.7050000,571.0000000,1.9584400,9.8120000,tic159418353-s14.json
289580577,1753.01,planeta,CP,14,1,39,5.3846239,3.2617296,630.6901313,2.6170633,11.2078000,tic289580577-s14.json
67666096,1766.01,planeta,KP,21,1,2,2.7033942,2.9270000,10340.0000000,16.7200000,9.4335100,tic67666096-s21.json
8767448,1767.01,planeta,KP,21,1,1,4.3532339,3.8690000,10270.0000000,16.2509000,9.9811100,tic8767448-s21.json
137906197,1768.01,planeta,CP,21,1,4,7.3377236,4.2430000,795.0000000,3.2807000,9.9100800,tic137906197-s21.json
252479260,1771.01,planeta,KP,21,1,3,3.2122302,2.6530000,14429.0000000,13.0356000,9.0070000,tic252479260-s21.json
85293053,1772.01,planeta,CP,21,1,2,8.0542207,3.0287161,706.8165307,2.8337706,9.3523000,tic85293053-s21.json
332064670,1773.01,planeta,KP,21,1,4,0.7365463,1.5732208,384.6733121,2.0231121,5.2058000,tic332064670-s21.json
21535395,1776.01,planeta,CP,21,1,2,2.8009915,1.4985399,204.8553325,1.4033915,7.6586000,tic21535395-s21.json
39699648,1778.01,planeta,CP,21,1,2,6.5273884,3.1190657,415.4308910,2.8972637,8.4594000,tic39699648-s21.json
160045097,1782.01,planeta,CP,14,1,11,4.9877056,2.2769107,1192.3398198,2.4703077,11.3069000,tic160045097-s14.json
149603524,102.01,planeta,KP,1,1,38,4.4119372,3.6321285,14711.8810303,15.0648739,9.7109000,tic149603524-s01.json
336732616,103.01,planeta,KP,1,1,2,3.5478540,3.4943330,10424.3718000,14.5818410,11.5232000,tic336732616-s01.json
231670397,104.01,planeta,KP,1,1,8,4.0872956,5.5861130,3572.1712499,13.6237732,9.8638000,tic231670397-s01.json
144065872,105.01,planeta,KP,1,1,5,2.1846669,2.6989102,11535.5475157,13.7127047,9.4995000,tic144065872-s01.json
38846515,106.01,planeta,KP,1,1,43,2.8493827,3.5488880,7740.4889995,16.0782163,10.3157000,tic38846515-s01.json
92352620,107.01,planeta,KP,1,1,5,3.9502008,4.4440000,13914.0000000,20.5357000,9.6433000,tic92352620-s01.json
281459670,110.01,planeta,KP,1,1,11,3.1743504,2.7510860,15457.3247576,14.9172256,11.6714000,tic281459670-s01.json
388104525,112.01,planeta,KP,1,1,28,2.4997996,2.8651710,14621.2059647,13.8516093,11.6035000,tic388104525-s01.json
25155310,114.01,planeta,KP,1,1,42,3.2887898,3.4367717,7005.7247902,10.5135877,10.6103000,tic25155310-s01.json
238176110,116.01,planeta,KP,1,1,10,2.7985802,2.3801043,16708.7151957,11.9514993,11.0443000,tic238176110-s01.json
322307342,117.01,planeta,KP,28,1,9,3.5862962,3.3710943,5729.3246858,16.4747611,11.7806000,tic322307342-s28.json
266980320,118.01,planeta,CP,1,1,8,6.0344634,2.0529010,1750.6457632,4.6585117,9.1790000,tic266980320-s01.json
391949880,128.01,planeta,CP,1,1,20,4.9404714,1.9540000,455.0000000,2.3216000,7.9849000,tic391949880-s01.json
201248411,129.01,planeta,CP,1,1,11,0.9809720,0.5405036,6178.3924210,5.9162923,9.9005000,tic201248411-s01.json
89020549,132.01,planeta,CP,1,1,5,2.1096805,2.1344043,1309.7297126,3.6396725,10.8061000,tic89020549-s01.json
234994474,134.01,planeta,CP,1,1,7,1.4015183,1.1583061,593.7540922,1.4616853,9.2297800,tic234994474-s01.json
410153553,136.01,planeta,CP,1,1,11,0.4629304,0.5409433,4507.3268775,1.3560231,11.9238000,tic410153553-s01.json
25375553,143.01,planeta,KP,1,1,5,2.3109689,3.4303821,6829.4236495,17.3042800,9.7748600,tic25375553-s01.json
261136679,144.01,planeta,CP,1,1,24,6.2678139,2.7890000,321.0000000,1.9977900,5.1054000,tic261136679-s01.json
393940766,148.01,planeta,CP,28,1,3,4.8670758,3.1883546,4965.8114653,8.2198581,11.7835000,tic393940766-s28.json
271893367,150.01,planeta,CP,9,1,36,5.8574075,5.8548029,6489.7302346,13.8892762,10.9031000,tic271893367-s09.json
394657039,159.01,planeta,CP,13,1,11,3.7628372,3.9560000,11360.0000000,17.3305867,10.5132000,tic394657039-s13.json
183120439,169.01,planeta,CP,13,1,6,2.2554459,1.6678604,5283.7103901,11.0535293,11.7880000,tic183120439-s13.json
307210830,175.01,planeta,CP,2,1,27,3.6906759,1.1070000,1657.0000000,1.3675100,9.4124200,tic307210830-s02.json
262530407,177.01,planeta,CP,2,1,7,2.8531016,1.2637530,1547.1068927,2.1060476,9.4927500,tic262530407-s02.json
207141131,179.01,planeta,CP,2,1,6,4.1374403,1.5874970,1008.4447279,2.5340286,8.1796000,tic207141131-s02.json
76923707,181.01,planeta,CP,2,1,4,4.5320502,2.4927338,7809.0577339,7.4398434,10.4654000,tic76923707-s02.json
279741379,186.02,planeta,CP,1,1,15,7.7897886,2.3434341,169.0703497,0.9617966,6.9934000,tic279741379-s01.json
183532609,191.01,planeta,KP,2,1,4,8.1587261,4.2880000,15337.0000000,12.7393000,9.1468000,tic183532609-s02.json
183985250,193.01,planeta,CP,2,1,4,0.7920645,0.3656119,1561.7798964,12.0551028,9.1031000,tic183985250-s02.json
230982885,195.01,planeta,KP,2,1,6,2.0727598,2.6190000,14761.0000000,14.2954000,9.9696000,tic230982885-s02.json
120610833,229.01,planeta,KP,2,1,4,3.1260751,1.7204574,11158.2764589,10.8099625,11.5005000,tic120610833-s02.json
204376737,231.01,planeta,KP,2,1,3,3.3610013,2.5685869,24081.7810523,12.7400071,11.4779000,tic204376737-s02.json
402026209,232.01,planeta,KP,2,1,7,1.3382314,2.1560676,27137.0920051,14.8542602,11.8295000,tic402026209-s02.json
9006668,238.01,planeta,CP,2,1,4,1.2730965,1.4800000,414.0000000,1.5792500,9.9266010,tic9006668-s02.json
9725627,239.01,planeta,KP,2,1,6,4.1567834,3.9413609,4830.1859522,9.8517709,10.9774000,tic9725627-s02.json
77031414,241.01,planeta,KP,2,1,4,1.3866519,2.3006751,14246.4665531,12.9811619,10.9571000,tic77031414-s02.json
118327550,244.01,planeta,CP,2,1,6,7.3972160,1.3164962,953.5477499,1.2711131,10.3475000,tic118327550-s02.json
158623531,246.01,planeta,KP,2,1,8,7.8728937,3.7599578,14639.4155321,15.0953000,11.2794000,tic158623531-s02.json
160148385,247.01,planeta,KP,2,1,7,3.4252563,2.4617762,14223.1726719,14.3752921,11.9116000,tic160148385-s02.json
184240683,250.01,planeta,KP,2,1,6,1.6284288,2.3682490,13798.6701483,12.9621642,11.5464000,tic184240683-s02.json
224225541,251.01,planeta,CP,2,1,4,4.9377227,2.1294254,844.8199092,2.8269897,9.3258000,tic224225541-s02.json
92226327,256.02,planeta,KP,3,1,2,3.7779418,1.4759325,3469.4507390,1.5659937,11.2991000,tic92226327-s03.json
63898957,261.01,planeta,CP,3,1,2,3.3639254,3.3430495,422.0610761,3.0449863,9.0397100,tic63898957-s03.json
159951311,265.01,planeta,KP,3,1,6,5.9242661,2.8894449,11796.3303624,9.3440442,11.7276000,tic159951311-s03.json
166836920,267.01,planeta,KP,3,1,6,5.7525804,5.2325983,5301.7998237,12.6101982,8.9300000,tic166836920-s03.json
259377017,270.01,planeta,CP,3,1,7,5.6604773,1.6617716,3451.8440419,2.3625955,10.4981000,tic259377017-s03.json
268766053,272.01,planeta,KP,3,1,3,3.3098458,2.2676536,19158.8321817,12.4316228,11.7617000,tic268766053-s03.json
439456714,277.01,planeta,CP,3,1,3,3.9934418,1.9693065,5801.8957159,4.2556645,11.7315000,tic439456714-s03.json
150030205,286.01,planeta,CP,1,1,44,4.5117295,1.7906998,306.1299697,1.4896211,9.1059000,tic150030205-s01.json
188570092,294.01,planeta,CP,42,1,3,7.3279450,2.8960000,13710.0000000,9.4902700,11.3875000,tic188570092-s42.json
114749636,306.01,planeta,KP,29,1,3,4.6027498,4.2702334,7456.7037756,11.7236575,11.7607000,tic114749636-s29.json
169765334,329.01,planeta,CP,29,1,5,5.7042858,4.0612640,940.9862890,5.0247868,10.6929000,tic169765334-s29.json
139285832,332.01,planeta,CP,28,1,5,0.7768500,1.4300000,830.0000000,3.2832400,11.5273000,tic139285832-s28.json
224245334,333.01,planeta,CP,29,1,4,3.7852328,3.5398298,1338.8791278,4.7864833,11.5166000,tic224245334-s29.json
116156517,338.01,planeta,KP,29,1,6,5.3677700,4.2710000,6650.0000000,14.2607000,11.3151000,tic116156517-s29.json
422655579,388.01,planeta,KP,4,1,5,2.9036858,5.0469369,4642.2749148,14.9138230,10.1638000,tic422655579-s04.json
382391899,391.01,planeta,KP,4,1,2,1.9550932,1.7876200,19634.9908668,13.1406834,11.0529000,tic382391899-s04.json
1129033,398.01,planeta,KP,4,1,2,1.3600283,2.1652751,19427.6944703,13.0911813,9.6271300,tic1129033-s04.json
35857242,400.01,planeta,KP,4,1,2,3.6344447,3.8710000,9230.0000000,14.2500000,11.3161000,tic35857242-s04.json
120896927,402.01,planeta,CP,3,1,5,4.7559995,2.4468544,360.5191272,1.4790069,8.3157000,tic120896927-s03.json
257567854,403.01,planeta,KP,4,1,2,3.5328220,3.4431200,11283.6194230,13.4749050,11.1850000,tic257567854-s04.json
153065527,406.02,planeta,CP,3,1,6,6.6149110,0.9654605,1060.5715819,1.2731554,11.2828000,tic153065527-s03.json
100990000,411.02,planeta,CP,3,1,5,4.0403007,2.7248629,143.5196245,1.2778847,7.7570000,tic100990000-s03.json
170634116,413.01,planeta,KP,4,1,4,3.6623918,3.7669692,12253.6582523,17.2805567,9.6757000,tic170634116-s04.json
152476657,415.01,planeta,KP,4,1,5,3.6112621,3.5377447,5684.0944144,13.6137403,10.5831000,tic152476657-s04.json
31374837,431.02,planeta,CP,5,1,4,0.4900589,1.0123328,291.0399722,1.4741529,8.1705000,tic31374837-s05.json
13021029,439.01,planeta,KP,5,1,3,3.8558900,3.9555399,9747.6035597,14.5222913,11.7231000,tic13021029-s05.json
70899085,442.01,planeta,CP,5,1,2,4.0520368,1.5605128,5512.4033193,4.9523134,10.7329000,tic70899085-s05.json
139528693,449.01,planeta,KP,5,1,3,2.1751729,4.7918806,7780.6435196,18.7874019,11.8282000,tic139528693-s05.json
139733308,452.01,planeta,KP,5,1,3,4.7633952,3.0078272,13160.6298310,10.2196833,11.9012000,tic139733308-s05.json
452808876,453.01,planeta,KP,5,1,2,2.7058200,4.9680000,7500.0000000,18.4904000,9.5389610,tic452808876-s05.json
98796344,455.01,planeta,CP,4,1,2,5.3587760,1.3697764,2708.4393715,1.4454154,8.8429400,tic98796344-s04.json
270380593,465.01,planeta,KP,4,1,6,3.8361623,2.4128495,5357.5774934,6.2369926,10.7307000,tic270380593-s04.json
170102285,477.01,planeta,KP,6,1,5,2.9444273,2.4478494,20291.3838652,12.7921539,11.7583000,tic170102285-s06.json
306362738,479.01,planeta,KP,6,1,4,2.7817379,2.1508237,12808.3940801,12.6841023,10.8164000,tic306362738-s06.json
317548889,480.01,planeta,CP,6,1,4,6.8659582,3.4557610,334.0145589,2.8144915,6.7799000,tic317548889-s06.json
393414358,483.01,planeta,KP,6,1,6,4.3780807,5.3900978,7074.3931388,15.1767346,10.4390000,tic393414358-s06.json
452866790,488.01,planeta,CP,7,1,4,1.1979996,0.9682003,1150.3177297,1.2107339,11.1972000,tic452866790-s07.json
455096220,489.01,planeta,KP,7,1,4,3.6466612,3.9225178,8994.5736642,13.2844134,11.8997000,tic455096220-s07.json
455135327,490.01,planeta,KP,7,1,4,2.8106013,2.2499254,10912.6752583,15.9952263,9.9390800,tic455135327-s07.json
17746821,492.01,planeta,KP,7,1,8,3.1220166,3.5718864,6304.9170255,14.3229397,11.3155000,tic17746821-s07.json
22529346,495.01,planeta,KP,7,1,6,1.2749246,2.7830000,18699.0000000,22.0328000,10.0560000,tic22529346-s07.json
134200185,500.01,planeta,CP,6,1,9,0.5481573,0.9424668,226.8573536,1.3591774,9.4022000,tic134200185-s06.json
134537478,501.01,planeta,KP,7,1,6,1.7100122,1.7900000,12680.0000000,17.2191000,10.3887000,tic134537478-s07.json
186812530,503.01,planeta,CP,7,1,7,3.6773543,1.4410000,3949.0000000,11.4260000,9.1981300,tic186812530-s07.json
268644785,505.01,planeta,KP,7,1,9,3.3294649,4.0123108,10603.9863905,16.0269619,10.6815000,tic268644785-s07.json
425206121,508.01,planeta,KP,7,1,2,4.6117328,4.0650000,11890.0000000,18.7958000,9.6540000,tic425206121-s07.json
440777904,511.01,planeta,KP,7,1,8,3.3552444,3.7362246,11199.9266299,15.4971874,11.3072000,tic440777904-s07.json
119292328,512.01,planeta,CP,6,1,5,7.1887332,2.9505752,285.2579990,1.5254582,8.9767000,tic119292328-s06.json
200322593,540.01,planeta,CP,4,1,6,1.2391534,0.4887749,2318.6594409,0.9654706,11.5045000,tic200322593-s04.json
50618703,544.01,planeta,CP,6,1,3,1.5483542,1.2030925,926.4111032,2.1601741,9.6504000,tic50618703-s06.json
407966340,554.01,planeta,CP,5,1,6,7.0491608,3.5024531,300.5227138,2.8464941,6.4386000,tic407966340-s05.json
209459275,559.01,planeta,CP,31,1,3,6.9839072,5.0760000,10050.0000000,12.2398000,10.5704000,tic209459275-s31.json
101011575,560.01,planeta,CP,8,1,4,6.3980642,2.0040000,1656.0000000,2.6202500,8.5925000,tic101011575-s08.json
413248763,562.01,planeta,CP,8,1,5,3.9306027,1.1960000,1048.0000000,1.2699500,8.7409400,tic413248763-s08.json
1003831,564.01,planeta,CP,8,1,5,1.6511456,0.9495247,3205.5671437,7.7514065,10.6701000,tic1003831-s08.json
123482865,569.01,planeta,CP,7,1,5,6.5562078,2.3140000,2970.0000000,8.4041500,9.4727000,tic123482865-s07.json
270468559,571.01,planeta,KP,8,1,8,4.6418435,3.8566772,7525.4475230,12.6031793,11.5598000,tic270468559-s08.json
408310006,576.01,planeta,CP,8,1,5,5.4435354,3.5000000,3219.0000000,7.3024200,8.8684900,tic408310006-s08.json
190496853,615.01,planeta,CP,35,1,3,4.6616079,4.0070000,11972.0000000,19.1536000,10.3015000,tic190496853-s35.json
296739893,620.01,planeta,CP,8,1,5,5.0988038,1.0252822,2925.8222433,3.0503381,10.2139000,tic296739893-s08.json
83092282,622.01,planeta,CP,8,1,8,6.4025295,3.9233956,3814.9508945,9.3002413,8.5615000,tic83092282-s08.json
399870368,624.01,planeta,CP,32,1,2,2.7443216,3.4200000,10071.0000000,20.1852000,9.3371000,tic399870368-s32.json
379929661,625.01,planeta,CP,34,1,3,4.7869580,4.9360000,8390.0000000,18.0112000,9.6129000,tic379929661-s34.json
65412605,626.01,planeta,CP,33,1,5,4.4010465,4.7570000,6903.0000000,19.7441000,9.5071200,tic65412605-s33.json
293853437,629.01,planeta,CP,33,1,2,8.7179665,6.1430000,2420.0000000,12.3121000,8.6943700,tic293853437-s33.json
147977348,640.01,planeta,CP,33,1,3,5.0037758,3.4390000,7390.0000000,19.7788000,10.0367000,tic147977348-s33.json
22221375,652.01,planeta,CP,9,1,6,3.9846589,2.1460000,445.0000000,2.1282700,7.3635000,tic22221375-s09.json
35516889,655.01,planeta,KP,9,1,7,0.7888389,1.6416539,22614.8958863,16.4131054,11.6044000,tic35516889-s09.json
36734222,656.01,planeta,KP,9,1,5,0.8134733,1.2629640,25866.8347400,13.1118363,11.1184000,tic36734222-s09.json
